observation_date,state_code,geolocation_state,gdp
2021-01-01,São Paulo,SP,2719.75
2021-01-01,Rio de Janeiro,RJ,949.3
2021-01-01,Minas Gerais,MG,357.59
2021-01-01,Rio Grande do Sul,RS,857.59
2021-01-01,Paraná,PR,549.97
2021-01-01,Santa Catarina,SC,428.57
2021-01-01,Bahia,BA,352.62
2021-01-01,Distrito Federal,DF,286.94
2021-01-01,Goiás,GO,269.63
2021-01-01,Pará,PA,262.91
2021-01-01,Mato Grosso,MT,233.39
2021-01-01,Pernambuco,PE,220.81
2021-01-01,Ceará,CE,194.89
2021-01-01,Espírito Santo,ES,186.34
2021-01-01,Mato Grosso do Sul,MS,142.2
2021-01-01,Amazonas,AM,131.53
2021-01-01,Maranhão,MA,124.98
2021-01-01,Rio Grande do Norte,RN,80.18
2021-01-01,Paraíba,PB,77.47
2021-01-01,Alagoas,AL,76.27
2021-01-01,Piauí,PI,64.03
2021-01-01,Rondônia,RO,58.17
2021-01-01,Sergipe,SE,51.86
2021-01-01,Tocantins,TO,51.78
2021-01-01,Acre,AC,21.37
2021-01-01,Amapá,AP,20.1
2021-01-01,Roraima,RR,18.2
