R,F,M,r_quartile,f_quartile,m_quartile,RFM_Score,customer_class
111,1,141.9,1,0,0,100,重要客户预警流失客户
114,1,27.19,1,0,0,100,重要客户预警流失客户
536,1,86.22,0,0,0,000,流失客户
320,1,43.62,0,0,0,000,流失客户
287,1,196.89,0,0,0,000,流失客户
145,1,166.98,1,0,0,100,重要客户预警流失客户
131,1,35.38,1,0,0,100,重要客户预警流失客户
182,2,838.36,1,1,1,111,重要价值客户
542,1,150.12,0,0,0,000,流失客户
169,1,129.76,1,0,0,100,重要客户预警流失客户
407,1,29.0,0,0,0,000,流失客户
282,1,126.26,0,0,0,000,流失客户
158,1,63.66,1,0,0,100,重要客户预警流失客户
128,1,82.05,1,0,0,100,重要客户预警流失客户
383,1,91.28,0,0,0,000,流失客户
334,1,46.85,0,0,0,000,流失客户
259,1,29.0,0,0,0,000,流失客户
233,1,36.68,0,0,0,000,流失客户
376,2,514.88,0,1,1,011,消费潜力客户
65,2,78.42,1,1,0,110,高消费唤醒客户
8,1,27.75,1,0,0,100,重要客户预警流失客户
100,1,20.75,1,0,0,100,重要客户预警流失客户
34,4,1449.52,1,1,1,111,重要价值客户
414,1,325.93,0,0,1,001,新客户
176,1,61.8,1,0,0,100,重要客户预警流失客户
362,2,424.32,0,1,1,011,消费潜力客户
584,1,76.11,0,0,0,000,流失客户
492,1,297.14,0,0,1,001,新客户
427,1,192.83,0,0,0,000,流失客户
389,1,117.94,0,0,0,000,流失客户
315,1,155.65,0,0,0,000,流失客户
222,1,99.82,0,0,0,000,流失客户
26,2,149.64,1,1,0,110,高消费唤醒客户
32,1,122.07,1,0,0,100,重要客户预警流失客户
497,1,58.86,0,0,0,000,流失客户
377,2,182.42,0,1,0,010,一般客户
4,2,329.62,1,1,1,111,重要价值客户
32,1,37.58,1,0,0,100,重要客户预警流失客户
187,1,27.0,1,0,0,100,重要客户预警流失客户
199,1,87.71,1,0,0,100,重要客户预警流失客户
120,1,197.27,1,0,0,100,重要客户预警流失客户
425,1,36.73,0,0,0,000,流失客户
48,1,161.71,1,0,0,100,重要客户预警流失客户
100,1,24.23,1,0,0,100,重要客户预警流失客户
264,1,135.08,0,0,0,000,流失客户
67,1,63.33,1,0,0,100,重要客户预警流失客户
527,1,35.84,0,0,0,000,流失客户
520,1,237.81,0,0,1,001,新客户
63,1,124.32,1,0,0,100,重要客户预警流失客户
153,1,107.44,1,0,0,100,重要客户预警流失客户
20,1,92.18,1,0,0,100,重要客户预警流失客户
88,1,57.73,1,0,0,100,重要客户预警流失客户
36,2,428.16,1,1,1,111,重要价值客户
157,1,46.78,1,0,0,100,重要客户预警流失客户
258,2,354.87,0,1,1,011,消费潜力客户
234,1,118.2,0,0,0,000,流失客户
306,2,515.74,0,1,1,011,消费潜力客户
183,1,217.74,1,0,1,101,频次深耕客户
324,2,437.32,0,1,1,011,消费潜力客户
574,1,64.42,0,0,0,000,流失客户
266,1,38.09,0,0,0,000,流失客户
301,1,228.67,0,0,1,001,新客户
225,1,28.76,0,0,0,000,流失客户
463,1,130.56,0,0,0,000,流失客户
139,1,52.38,1,0,0,100,重要客户预警流失客户
403,1,137.99,0,0,0,000,流失客户
211,1,109.79,1,0,0,100,重要客户预警流失客户
195,1,114.04,1,0,0,100,重要客户预警流失客户
304,1,77.57,0,0,0,000,流失客户
365,1,62.47,0,0,0,000,流失客户
45,1,536.6,1,0,1,101,频次深耕客户
433,2,109.78,0,1,0,010,一般客户
692,1,144.94,0,0,0,000,流失客户
43,1,62.45,1,0,0,100,重要客户预警流失客户
64,1,425.04,1,0,1,101,频次深耕客户
